epoch,loss,val_loss,val_weight_stage1_L1_acc,val_weight_stage1_L1_loss,val_weight_stage1_L2_acc,val_weight_stage1_L2_loss,val_weight_stage2_L1_acc,val_weight_stage2_L1_loss,val_weight_stage2_L2_acc,val_weight_stage2_L2_loss,val_weight_stage3_L1_acc,val_weight_stage3_L1_loss,val_weight_stage3_L2_acc,val_weight_stage3_L2_loss,val_weight_stage4_L1_acc,val_weight_stage4_L1_loss,val_weight_stage4_L2_acc,val_weight_stage4_L2_loss,val_weight_stage5_L1_acc,val_weight_stage5_L1_loss,val_weight_stage5_L2_acc,val_weight_stage5_L2_loss,val_weight_stage6_L1_acc,val_weight_stage6_L1_loss,val_weight_stage6_L2_acc,val_weight_stage6_L2_loss,weight_stage1_L1_acc,weight_stage1_L1_loss,weight_stage1_L2_acc,weight_stage1_L2_loss,weight_stage2_L1_acc,weight_stage2_L1_loss,weight_stage2_L2_acc,weight_stage2_L2_loss,weight_stage3_L1_acc,weight_stage3_L1_loss,weight_stage3_L2_acc,weight_stage3_L2_loss,weight_stage4_L1_acc,weight_stage4_L1_loss,weight_stage4_L2_acc,weight_stage4_L2_loss,weight_stage5_L1_acc,weight_stage5_L1_loss,weight_stage5_L2_acc,weight_stage5_L2_loss,weight_stage6_L1_acc,weight_stage6_L1_loss,weight_stage6_L2_acc,weight_stage6_L2_loss
10,554.379588561,552.43802296,0.160591021603,74.5285370133,0.971938246579,27.8249853235,0.0430590164156,66.489732988,0.97332254594,24.9934917291,0.0443384101205,65.0888788917,0.973703478096,24.1996920831,0.0444771438682,64.1420847864,0.973831827216,23.9773188649,0.0446359267049,63.6651986874,0.973893942255,23.7958879579,0.0464405396699,62.9403682478,0.973977006295,23.6319306547,0.0745927998897,75.6502600744,0.971420234114,28.2630349642,0.115918158946,66.836051324,0.972977515295,25.2595554926,0.111054494874,64.8673146254,0.973363603458,24.4807623758,0.103457116454,64.0813012197,0.973491801341,24.1829601479,0.0974582117791,63.4140076907,0.973547731091,24.0387787949,0.0903870521804,62.5578874605,0.973648262298,23.7571624522
11,551.406827014,544.412240404,0.0368582444604,73.8106263912,0.97212424355,27.4116838303,0.0427964065492,65.6466683619,0.973695597865,24.6576123996,0.0439069922661,63.9569794481,0.974042528281,23.7914921154,0.0443729587802,63.0460892518,0.974180902721,23.5040253473,0.0444773224563,62.7486837055,0.974247493076,23.4383030516,0.0448972829688,61.8369451436,0.974357590757,23.0693330656,0.077350329289,74.9407281696,0.971381322765,28.2102820334,0.097843565356,66.299777096,0.972897204525,25.2843045367,0.0999410236012,64.3489859005,0.973262164921,24.5367642992,0.100852280671,63.5570187461,0.973400815366,24.17837444,0.0947269208083,62.9039552264,0.973467089781,24.0437141242,0.0858555154719,62.0188434439,0.973568805465,23.7560036304
12,547.720941767,550.40426341,0.186691582146,74.6788686695,0.972186895031,27.7211581974,0.0421628856989,66.591237769,0.973541289794,25.20603224,0.043273471832,64.4003902132,0.973968769339,24.307861888,0.0437684380732,63.5429830696,0.974103391171,23.9474201094,0.0439204184028,62.8316988945,0.974195579462,23.8454207579,0.0444683721853,62.0880829782,0.974270946374,23.4077363484,0.0804420161637,74.4724037561,0.971658263376,27.8879899589,0.0961442631203,66.0437255583,0.973141146887,25.002765579,0.0881670224697,64.0254196287,0.973525661267,24.2518035396,0.0977930073258,63.1977815793,0.973672804134,23.8753640972,0.0893232806508,62.5078549335,0.973743032108,23.7358694106,0.0807871271384,61.6144393029,0.97383594063,23.4423819254
13,544.256838697,542.028270028,0.14866690157,73.0894484086,0.972380586872,27.1492040085,0.0432942373128,65.3195794568,0.973797821863,24.4015797918,0.0442261697978,63.5629654653,0.974132207984,24.354571729,0.0445915317784,62.7371536168,0.974329840956,23.3962632707,0.044817444311,62.1521766836,0.974390882208,23.3465858156,0.0453260152982,61.4137035428,0.974499361082,22.9547270031,0.0920269813726,73.9077856271,0.971714652294,27.7167147152,0.095269031833,65.6270210849,0.97320064547,24.8686162779,0.0954055060675,63.5823357084,0.973568589408,24.1242162525,0.0898719771455,62.7275981058,0.973719487979,23.727889879,0.0832200099847,62.0163629698,0.973787073378,23.5728985435,0.0817626003954,61.1379087187,0.973901997605,23.2489311514
14,540.0720878,562.378835736,0.0359741078944,75.5073258949,0.972053708678,28.530271653,0.0414122917308,68.1896173882,0.973435855047,25.9807806123,0.0425176864673,65.3945596579,0.97371887077,24.6798818437,0.0430618808393,64.8650447094,0.973929564384,24.2479115544,0.0434197241892,64.0411833416,0.973964658199,25.3445714423,0.0441463307167,62.8944153063,0.974084952112,24.2466513822,0.0848453812288,73.3205132746,0.971853400007,27.4443215024,0.0971372684531,65.1264779544,0.973305713713,24.661334973,0.0904607153543,63.0575218901,0.973692331404,23.8856720165,0.0963029868127,62.2191209788,0.973832481486,23.5291878125,0.0859289073955,61.5124688802,0.973902143687,23.3694186778,0.0814712458181,60.5951671042,0.974023054038,23.0503257981
15,537.688220024,541.842799678,0.0703090103625,73.1860547788,0.97227084885,27.4767941959,0.888627940732,65.3148965113,0.973590521424,24.6382748503,0.0433547430121,63.6767603195,0.973985063759,24.0963031415,0.87364324837,62.3716062343,0.974119679494,23.5051886819,0.0445202854885,61.6440347469,0.974262892974,23.3368649844,0.044528340815,60.8276578224,0.974397321994,23.0192200849,0.08649278803,72.8600161383,0.971892140804,27.3581202043,0.0950875079791,64.8388141016,0.973336437828,24.6128408538,0.0933393456421,62.7191410569,0.973707284894,23.8534879967,0.0957724522986,61.8239287986,0.973860626745,23.4517993777,0.0934153678964,61.1119850886,0.973934035685,23.2895352206,0.0840910616196,60.2046954265,0.974057938656,22.9615243755
16,536.684681491,538.708368359,0.0376505484932,72.7079671079,0.972522894767,26.8115313125,0.043803703054,64.7805148182,0.973896092763,24.2022961992,0.0447896973893,62.8968966368,0.974288310065,23.8189896959,0.0450829178109,62.4237143415,0.974419880771,23.3764094295,0.0455123658687,61.8429630814,0.974519948842,22.9476246545,0.0459307151085,61.0679859104,0.974643107842,22.7820009138,0.0841560236946,72.790998605,0.972024715758,27.1776628779,0.0937029600865,64.86033758,0.973432006934,24.4713152653,0.10130576608,62.7058011984,0.973825030532,23.6926590118,0.0968684233972,61.7602273009,0.973986605089,23.2912958364,0.0909208755807,61.0288303137,0.974071580334,23.1089422606,0.0878216035984,60.1181136177,0.974189291392,22.7824443206
17,535.742972177,542.836422776,0.0369631452839,72.2513825966,0.972022562768,27.5161588336,0.0423300824213,65.477961309,0.973324865329,25.1881158424,0.0435237295037,63.2424284184,0.97382162105,24.2732849085,0.0440127882105,62.1003971389,0.973865667527,23.9770320293,0.0443051136804,61.5953861872,0.974031783866,23.7888038881,0.044680500276,60.8181877425,0.974130058153,23.268246098,0.0836979823032,72.471821569,0.971988959613,27.1942949337,0.0932324005326,64.6658492592,0.973394525076,24.5326476204,0.0924836329469,62.495316506,0.973767537403,23.7443347606,0.0868457546041,61.5397985284,0.973942464433,23.3256462313,0.0824467913705,60.8010287654,0.974027232891,23.1349983258,0.0811541638401,59.8524964571,0.974149178089,22.78974996
18,533.594535362,610.841422919,0.03470348571,84.7547408306,0.971691389201,29.8306335391,0.0367366960131,76.8169614763,0.972843150749,26.885159348,0.0410612504788,72.4385384357,0.973135653545,27.2898762587,0.0401538419608,70.2322848204,0.973301776431,25.9318685243,0.852435402798,68.8289598263,0.973492423693,25.6125108762,0.0417389869408,67.3386805419,0.973665352798,25.2457735864,0.08949704707,72.2643691696,0.972174473182,26.9798783806,0.0965120270487,64.5465229217,0.973557366065,24.3179472497,0.0881806540185,62.3092553287,0.973946266765,23.5273384039,0.0847314551556,61.3431532752,0.974111129257,23.1203533047,0.0834312513265,60.5810866464,0.974207067086,22.9192331082,0.0837532477158,59.6378734706,0.974327284611,22.5569749925
19,531.455770962,534.871484814,0.0376795481848,71.5488529494,0.972699226304,26.5726168661,0.0426207966961,64.6619656881,0.97386495024,24.4411481438,0.0443282061764,62.85110582,0.974473943765,23.3057167927,0.0507244584786,61.8114866921,0.974486829882,23.0798728538,0.872811202524,61.1258015416,0.974617688042,22.9843104139,0.0482419300119,60.1176018354,0.974747651003,22.461480744,0.0933570367799,71.7625283914,0.972198078661,26.9035870804,0.100560406366,64.2007270007,0.973549493843,24.3361412069,0.0968798719797,61.9711793721,0.973938141923,23.5291784701,0.0880568581328,60.9708310127,0.974111183274,23.1097793521,0.0852149258938,60.231486996,0.974209304465,22.866719678,0.0844258734353,59.2915841375,0.974334888051,22.5052834324
